file,original_rows,cleaned_rows,rows_trimmed,pct_trimmed
subject_00/session_0/eyes_closed.csv,4517,3814,703,15.6
subject_00/session_0/eyes_open.csv,4541,4225,316,7.0
subject_01/session_0/eyes_closed.csv,4541,4063,478,10.5
subject_01/session_0/eyes_open.csv,5855,4945,910,15.5
subject_02/session_0/eyes_closed.csv,4292,3778,514,12.0
subject_02/session_0/eyes_open.csv,4270,3603,667,15.6
subject_03/session_0/eyes_closed.csv,4259,3592,667,15.7
subject_03/session_0/eyes_open.csv,4265,3571,694,16.3
subject_04/session_0/eyes_closed.csv,3432,2513,919,26.8
subject_04/session_0/eyes_open.csv,3195,2753,442,13.8
subject_05/session_0/eyes_closed.csv,4659,3605,1054,22.6
subject_05/session_0/eyes_open.csv,4383,3401,982,22.4
subject_05/session_1/eyes_closed.csv,4594,3252,1342,29.2
subject_05/session_1/eyes_open.csv,4651,3336,1315,28.3
subject_05/session_2/eyes_closed.csv,11668,10713,955,8.2
subject_05/session_2/eyes_open.csv,43048,42129,919,2.1
subject_05/session_3/eyes_closed.csv,53384,52393,991,1.9
subject_05/session_3/eyes_open.csv,21694,20739,955,4.4
subject_06/session_0/eyes_closed.csv,4265,3661,604,14.2
subject_06/session_0/eyes_open.csv,4319,3580,739,17.1
subject_06/session_1/eyes_closed.csv,4268,3889,379,8.9
subject_06/session_1/eyes_open.csv,4353,3641,712,16.4
subject_06/session_2/eyes_closed.csv,32322,31880,442,1.4
subject_06/session_2/eyes_open.csv,31706,31138,568,1.8
subject_07/session_0/eyes_closed.csv,4291,3372,919,21.4
subject_07/session_0/eyes_open.csv,4360,3747,613,14.1
subject_08/session_0/eyes_closed.csv,3410,2909,501,14.7
subject_08/session_0/eyes_open.csv,3399,2898,501,14.7
subject_09/session_0/eyes_closed.csv,4317,3735,582,13.5
subject_09/session_0/eyes_open.csv,2988,2633,355,11.9
subject_10/session_0/eyes_closed.csv,3806,3456,350,9.2
subject_10/session_0/eyes_open.csv,3206,2912,294,9.2
subject_11/session_0/eyes_closed.csv,2455,1486,969,39.5
subject_11/session_0/eyes_open.csv,2979,2685,294,9.9
subject_12/session_0/eyes_closed.csv,3349,2866,483,14.4
subject_12/session_0/eyes_open.csv,2916,2505,411,14.1
subject_13/session_0/eyes_closed.csv,3194,2900,294,9.2
subject_13/session_0/eyes_open.csv,3075,2781,294,9.6
subject_14/session_0/eyes_closed.csv,5159,4789,370,7.2
subject_14/session_0/eyes_open.csv,5210,3895,1315,25.2
subject_15/session_0/eyes_closed.csv,4115,3052,1063,25.8
subject_15/session_0/eyes_open.csv,4216,3837,379,9.0
subject_16/session_0/eyes_closed.csv,3689,3184,505,13.7
subject_16/session_0/eyes_open.csv,3856,3450,406,10.5
subject_17/session_0/eyes_closed.csv,4530,3800,730,16.1
subject_17/session_0/eyes_open.csv,4480,3732,748,16.7
subject_18/session_0/eyes_closed.csv,3978,3347,631,15.9
subject_18/session_0/eyes_open.csv,4317,3407,910,21.1
subject_19/session_0/eyes_closed.csv,4330,3951,379,8.8
subject_19/session_0/eyes_open.csv,5148,4499,649,12.6
subject_20/session_0/eyes_closed.csv,2500,2202,298,11.9
subject_20/session_0/eyes_open.csv,2500,2085,415,16.6
subject_20/session_1/eyes_closed.csv,3859,3565,294,7.6
subject_20/session_1/eyes_open.csv,3929,3491,438,11.1
subject_20/session_10/eyes_closed.csv,2500,2202,298,11.9
subject_20/session_10/eyes_open.csv,2500,2202,298,11.9
subject_20/session_11/eyes_closed.csv,2500,2166,334,13.4
subject_20/session_11/eyes_open.csv,2500,2202,298,11.9
subject_20/session_12/eyes_closed.csv,2500,2193,307,12.3
subject_20/session_12/eyes_open.csv,2500,2166,334,13.4
subject_20/session_13/eyes_closed.csv,2500,2202,298,11.9
subject_20/session_13/eyes_open.csv,2500,2202,298,11.9
subject_20/session_14/eyes_closed.csv,2500,2058,442,17.7
subject_20/session_14/eyes_open.csv,2500,2202,298,11.9
subject_20/session_15/eyes_closed.csv,2500,2184,316,12.6
subject_20/session_15/eyes_open.csv,2500,2166,334,13.4
subject_20/session_16/eyes_closed.csv,2500,2202,298,11.9
subject_20/session_16/eyes_open.csv,2500,2130,370,14.8
subject_20/session_17/eyes_closed.csv,2500,2184,316,12.6
subject_20/session_17/eyes_open.csv,2500,2175,325,13.0
subject_20/session_18/eyes_closed.csv,2500,2193,307,12.3
subject_20/session_18/eyes_open.csv,2500,2184,316,12.6
subject_20/session_19/eyes_closed.csv,2500,2103,397,15.9
subject_20/session_19/eyes_open.csv,2500,2076,424,17.0
subject_20/session_2/eyes_closed.csv,3893,3482,411,10.6
subject_20/session_2/eyes_open.csv,3945,3561,384,9.7
subject_20/session_20/eyes_closed.csv,2500,2121,379,15.2
subject_20/session_20/eyes_open.csv,2500,2202,298,11.9
subject_20/session_21/eyes_closed.csv,2450,2152,298,12.2
subject_20/session_21/eyes_open.csv,2450,2080,370,15.1
subject_20/session_22/eyes_closed.csv,2500,2193,307,12.3
subject_20/session_22/eyes_open.csv,2500,2157,343,13.7
subject_20/session_3/eyes_closed.csv,3929,3626,303,7.7
subject_20/session_3/eyes_open.csv,3921,3348,573,14.6
subject_20/session_4/eyes_closed.csv,3935,3641,294,7.5
subject_20/session_4/eyes_open.csv,4034,3497,537,13.3
subject_20/session_5/eyes_closed.csv,3996,3702,294,7.4
subject_20/session_5/eyes_open.csv,3898,3316,582,14.9
subject_20/session_6/eyes_closed.csv,3895,3457,438,11.2
